zip,year,estimated_deaths,death_rate_per_1000,median_income,percent_65_plus,percent_no_hs,percent_bachelor_or_higher,percent_white_non_hispanic,percent_black,percent_hispanic
75006.0,2011.0,273,5.68,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2012.0,274,5.7,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2013.0,286,5.95,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2014.0,293,6.1,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2015.0,297,6.18,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2016.0,303,6.3,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2017.0,310,6.45,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2018.0,314,6.53,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2019.0,312,6.49,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2020.0,378,7.86,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2021.0,387,8.05,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75006.0,2022.0,354,7.37,79672.0,13.771794765095086,24.343660947068454,33.12011156248105,33.0593816320586,9.046648079563898,48.27098331322042
75019.0,2011.0,254,5.68,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2012.0,255,5.7,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2013.0,266,5.95,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2014.0,273,6.11,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2015.0,277,6.2,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2016.0,282,6.31,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2017.0,289,6.46,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2018.0,292,6.53,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2019.0,290,6.49,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2020.0,352,7.87,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2021.0,360,8.05,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75019.0,2022.0,329,7.36,136679.0,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357311
75038.0,2011.0,185,5.68,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2012.0,186,5.71,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2013.0,194,5.96,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2014.0,199,6.11,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2015.0,201,6.17,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2016.0,205,6.3,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2017.0,210,6.45,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2018.0,213,6.54,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2019.0,211,6.48,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2020.0,256,7.86,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2021.0,262,8.05,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75038.0,2022.0,240,7.37,69678.0,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75039.0,2011.0,124,5.69,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2012.0,124,5.69,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2013.0,130,5.96,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2014.0,133,6.1,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2015.0,135,6.19,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2016.0,137,6.29,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2017.0,141,6.47,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2018.0,142,6.52,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2019.0,142,6.52,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2020.0,171,7.85,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2021.0,175,8.03,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75039.0,2022.0,160,7.34,100474.0,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75041.0,2011.0,178,5.68,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2012.0,179,5.71,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2013.0,187,5.97,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2014.0,191,6.09,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2015.0,194,6.19,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2016.0,198,6.32,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2017.0,202,6.44,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2018.0,205,6.54,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2019.0,204,6.51,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2020.0,247,7.88,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2021.0,252,8.04,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75041.0,2022.0,231,7.37,62744.0,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542118,5.934150076569678,70.96733027054619
75042.0,2011.0,215,5.67,60118.0,9.940672379696773,25.63496234016465,17.23594324750394,16.561634805537246,13.223467369808834,52.99406723796968
75042.0,2012.0,216,5.7,60118.0,9.940672379696773,25.63496234016465,17.23594324750394,16.561634805537246,13.223467369808834,52.99406723796968
