zip,total_population,median_income,percent_65_plus,percent_no_hs,percent_bachelor_or_higher,percent_white_non_hispanic,percent_black,percent_hispanic
75001,16633,77598,9.138459688570913,10.25759323337178,57.70088427527874,42.78242048938857,17.59754704503096,27.192929718030424
75002,72679,119301,10.85595564055642,14.037229826703513,51.639783218730585,56.702761457917696,12.859285350651495,12.922577360723182
75006,48062,79672,13.771794765095086,24.343660947068454,33.12011156248105,33.059381632058596,9.046648079563898,48.27098331322042
75007,54498,105969,13.543616279496495,18.2602174728159,43.217097862767154,43.65481302066131,8.126903739586774,27.509266395097065
75009,28109,153658,13.301789462449747,14.140240190381318,49.38292102495988,65.2851399907503,5.130029527909211,16.617453484649044
75010,31609,98567,10.231263247809167,14.538327526132406,52.5130662020906,39.466607611756146,15.628460248663355,14.786927773735329
75013,46649,149549,9.9830650174709,11.023216927133578,62.80789761399447,49.83386567772085,7.129842011618684,9.16632725245986
75019,44706,136679,9.45734353330649,7.920000000000001,70.18666666666667,46.15711537601217,5.294591330022816,13.995884221357313
75020,24486,64734,19.23956546598056,25.392750168103184,20.34354178128247,76.16188842603937,6.49759045985461,10.695907865719187
75021,8925,61198,20.38095238095238,29.69793322734499,16.3275039745628,81.99439775910365,3.215686274509804,9.837535014005603
75022,27000,179892,10.151851851851852,9.963820134382358,67.96646183885603,64.55555555555556,2.811111111111111,13.548148148148147
75023,49376,101246,15.094377835385611,13.275074021904734,53.34751487624687,57.742627997407645,8.915262475696695,15.596646143875567
75024,43520,114623,8.802849264705882,9.453816053401729,69.72148235835718,41.0546875,9.333639705882353,7.7068014705882355
75025,54201,134740,10.608660356819986,11.98696348671491,64.87598740540243,41.01769340049077,9.745207652995331,9.914946218704452
75028,47751,143712,12.353667986010764,10.487760209999388,62.224528417068555,69.85612866746246,3.474272790098637,10.634332265292873
75032,36514,132756,12.047433860984828,15.79503210544103,48.90165596485299,68.5353563016925,8.555622500958536,16.92501506271567
75033,47416,165218,6.613801248523705,8.445120872119775,63.90117863589707,58.218744727518136,11.110173781002192,13.740087734098195
75034,48749,104323,9.282241687008964,9.971089562127327,64.59977112570017,52.854417526513366,9.296600955917045,14.589017210609448
75035,83930,154811,7.995949005123316,9.289596787939622,66.6767674854643,40.791135470034554,8.635767901822948,12.539020612415108
75036,31792,137902,17.457221942627076,13.678832788696093,64.00331384912782,49.56907398087569,7.860468042274786,10.206970306995471
75038,32559,69678,7.623084247059185,18.53722324931235,44.8888488073229,18.176233913817992,32.29521791209804,17.617248686998987
75039,21795,100474,5.716907547602661,5.796421237899677,76.14549721325902,30.06194081211287,12.429456297315898,15.329203945859144
75040,63143,70592,12.98956337202857,25.06276150627615,21.653950283042086,22.28908984368814,12.425763742615967,49.403734380691446
75041,31344,62744,10.292240939254722,26.52292576419214,13.777292576419214,18.147013782542114,5.934150076569678,70.96733027054619
75042,37925,60118,9.940672379696771,25.634962340164652,17.23594324750394,16.561634805537246,13.223467369808834,52.99406723796968
75043,64296,72079,12.751959686450167,24.264385088952444,23.07431286053614,30.129401517979343,22.85056613164116,35.12815727261416
75044,47010,84016,14.437353754520316,21.03822527769821,39.7052738788631,33.63965113805573,17.91746436928313,26.3348223782174
75048,28210,126792,12.50620347394541,19.202860993054834,43.22069037006323,53.56256646579227,12.05600850762141,9.712867777383906
75050,43856,68421,11.029277635899307,27.001676236670352,21.33456970648026,20.6197555636629,18.736318861729295,56.36400948558921
75051,40166,49485,10.89976597121944,30.58216040642958,12.126259681852252,14.186127570582086,12.525519095752626,69.7331076034457
75052,94636,84055,10.29523648505854,21.52497077000167,30.235510272256555,20.690857601758317,27.172534764782956,39.444820153007306
75054,17261,154412,6.540756618967615,8.968352614972751,58.43770915001434,31.701523666068017,33.4916864608076,15.28880134407045
75056,65785,111589,8.441133997111804,14.695173581710415,52.64182895850974,48.018545261077755,9.666337310937143,19.3752375161511
75057,17280,73935,7.505787037037037,23.046296296296294,28.574074074074073,37.34375,11.180555555555555,43.76157407407407
75058,3801,113194,8.97132333596422,14.858387799564271,43.22440087145969,78.29518547750592,1.1312812417784792,16.99552749276506
75060,48997,67479,11.245586464477416,24.265377202177664,19.500896087647515,18.780741678061922,4.398228462967121,68.90830050819437
75061,56319,58236,8.718194570216092,26.40152069015938,16.110542476970316,14.840462366164173,7.80198512047444,70.54990322981587
75062,52772,68692,8.207003714090806,17.939631322080263,33.442133731231934,19.55772000303191,13.853937694231789,49.59069203365421
75063,44570,106909,6.264303343055867,8.194187804468335,72.05778599025702,17.79448059232668,13.082791115099843,7.240296163338568
75065,12787,95403,9.548760459842027,15.824099722991688,34.32594644506002,64.55775396887464,3.5191991866739656,27.019629311019006
75067,67117,75224,8.871075882414292,20.874798495432564,34.342826437399246,38.69660443702788,14.327219631389962,32.26753281582908
75068,68074,119464,7.860563504421658,17.082713648323992,42.45052053540785,42.21141698739606,19.007256808766932,21.86737961629991
75069,39048,74967,18.19555418971522,21.068567705339007,36.23854969146449,54.65836918664208,10.3359967219832,30.805675066584715
75070,57516,101188,9.13832672647611,12.817372846763,57.765259749095165,51.28138257180611,13.321510536198621,13.24848737742541
75071,66298,124763,11.02446529307068,15.473113606733607,49.2463575855996,56.92630245256267,12.679115508763461,16.163383510814803
75072,55304,147321,11.037176334442353,8.846098987305663,62.03965197546712,64.05684941414725,7.628742948068856,11.628453638073195
75074,51443,78441,10.565091460451374,15.797958087049974,41.784584154277866,38.316194623175164,10.701164395544584,35.31092665668798
75075,37032,89081,20.884640311082308,14.211703317182259,50.346626910175175,63.22099805573558,6.097429250378052,14.338950097213221
