zip,year,estimated_deaths
75006.0,2018,27.767624487448764
75006.0,2018,27.869337397659198
75006.0,2018,29.08989232018442
75006.0,2018,29.801882691657468
75006.0,2018,30.208734332499205
75006.0,2018,30.819011793761813
75006.0,2018,31.531002165234863
75006.0,2018,31.9378538060766
75006.0,2018,31.73442798565573
75006.0,2018,38.447480059544446
75006.0,2018,39.36289625143836
75006.0,2018,36.006370214494
75019.0,2018,17.741421747142425
75019.0,2018,17.81126986425716
75019.0,2018,18.579599152519233
75019.0,2018,19.06853597232237
75019.0,2018,19.347928440781306
75019.0,2018,19.697169026354974
75019.0,2018,20.186105846158114
75019.0,2018,20.395650197502313
75019.0,2018,20.255953963272848
75019.0,2018,24.58653722438635
75019.0,2018,25.145322161304225
75019.0,2018,22.98003053074747
75038.0,2018,10.415688579667593
75038.0,2018,10.47198959901715
75038.0,2018,10.922397753813586
75038.0,2018,11.20390285056136
75038.0,2018,11.316504889260466
75038.0,2018,11.541708966658685
75038.0,2018,11.823214063406459
75038.0,2018,11.99211712145512
75038.0,2018,11.879515082756013
75038.0,2018,14.413060953485967
75038.0,2018,14.750867069583295
75038.0,2018,13.512244643893096
75039.0,2018,5.235623310878244
75039.0,2018,5.235623310878244
75039.0,2018,5.488959922694933
75039.0,2018,5.615628228603278
75039.0,2018,5.700073765875508
75039.0,2018,5.7845193031477375
75039.0,2018,5.9534103776921965
75039.0,2018,5.995633146328312
75039.0,2018,5.995633146328312
75039.0,2018,7.2200934367756435
75039.0,2018,7.3889845113201025
75039.0,2018,6.755642981778379
75041.0,2018,13.5305510831885
75041.0,2018,13.606565415116528
75041.0,2018,14.21468007054073
75041.0,2018,14.518737398252831
75041.0,2018,14.746780394036909
75041.0,2018,15.050837721749009
75041.0,2018,15.35489504946111
75041.0,2018,15.582938045245186
75041.0,2018,15.50692371331716
75041.0,2018,18.77553998622225
75041.0,2018,19.155611645862376
75041.0,2018,17.55931067537384
75042.0,2018,15.784824556510936
75042.0,2018,15.858242345145868
75042.0,2018,16.592420231495215
75042.0,2018,16.959509174669886
75042.0,2018,17.253180329209627
75042.0,2018,17.54685148374936
75042.0,2018,17.98735821555897
75042.0,2018,18.207611581463777
75042.0,2018,18.060776004193904
75042.0,2018,21.878501013210503
75042.0,2018,22.392425533655043
75042.0,2018,20.483563029146747
75043.0,2018,34.37599947880895
75043.0,2018,34.56436111978873
75043.0,2018,36.071254247626925
75043.0,2018,36.91888163203592
75043.0,2018,37.48396655497523
75043.0,2018,38.143232298404456
75043.0,2018,39.08504050330333
75043.0,2018,39.555944605752764
75043.0,2018,39.36758296477299
75043.0,2018,47.65549516788309
75043.0,2018,48.69148419327186
75043.0,2018,44.547528091716806
75044.0,2018,28.469798798124387
75044.0,2018,28.576427258042454
75044.0,2018,29.855968777059285
75044.0,2018,30.602367996485768
75044.0,2018,31.02888183615804
75044.0,2018,31.562024135748388
75044.0,2018,32.30842335517487
75044.0,2018,32.73493719484714
75044.0,2018,32.521680275011
75044.0,2018,39.45253016968548
75044.0,2018,40.30555784903004
75044.0,2018,36.893447131651826
75048.0,2018,14.77852230842544
75048.0,2018,14.8708880728531
75048.0,2018,15.517448423846712
75048.0,2018,15.886911481557348
75048.0,2018,16.164008774840323
75048.0,2018,16.441106068123304
75048.0,2018,16.81056912583394
75048.0,2018,16.995300654689256
75048.0,2018,16.902934890261594
75048.0,2018,20.5051997029403
75048.0,2018,20.967028525078593
75048.0,2018,19.212079000953075
75050.0,2018,20.282988986203616
75050.0,2018,20.3644467732968
75050.0,2018,21.26048243132186
75050.0,2018,21.749229153880986
75050.0,2018,22.075060302253736
75050.0,2018,22.482349237719667
75050.0,2018,23.05255374737198
75050.0,2018,23.29692710865154
75050.0,2018,23.215469321558356
75050.0,2018,28.102936547149586
75050.0,2018,28.754598843895085
75050.0,2018,26.310865231099466
75051.0,2018,18.35428871195537
75051.0,2018,18.434789978235873
75051.0,2018,19.23980264104093
75051.0,2018,19.72281023872397
75051.0,2018,20.044815303845997
75051.0,2018,20.366820368968018
75051.0,2018,20.849827966651056
75051.0,2018,21.091331765492573
75051.0,2018,21.01083049921207
75051.0,2018,25.438400144639896
75051.0,2018,26.001909008603437
75051.0,2018,23.828374819029776
75052.0,2018,40.90761323044488
75052.0,2018,41.05968614208223
75052.0,2018,42.88456108173032
75052.0,2018,43.87303500737304
75052.0,2018,44.557363109741075
75052.0,2018,45.39376412374646
75052.0,2018,46.45827450520784
75052.0,2018,46.99052969593854
75052.0,2018,46.76242032848253
75052.0,2018,56.57112312909106
75052.0,2018,57.86374287800846
75052.0,2018,52.997409705613535
75060.0,2018,23.089389156764376
75060.0,2018,23.255499870122392
75060.0,2018,24.252164150270488
75060.0,2018,24.83355164702355
75060.0,2018,25.165773073739587
75060.0,2018,25.664105213813635
75060.0,2018,26.245492710566694
75060.0,2018,26.57771413728273
75060.0,2018,26.411603423924717
75060.0,2018,31.976312321418288
75060.0,2018,32.72381053152936
75060.0,2018,29.98298376112208
75061.0,2018,20.60449971305088
75061.0,2018,20.668888774654164
75061.0,2018,21.634724698703426
75061.0,2018,22.085448129926412
75061.0,2018,22.407393437942837
75061.0,2018,22.858116869165823
75061.0,2018,23.43761842359538
75061.0,2018,23.695174670008516
75061.0,2018,23.566396546801943
75061.0,2018,28.524354290254816
